"Step","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_9_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_9_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_9_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_8_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_8_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_8_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_7_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_7_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_7_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_6_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_6_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_6_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_5_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_5_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_5_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_4_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_4_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_4_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_3_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_3_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_3_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_2_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_2_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_2_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_1_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_1_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_1_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_0_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_0_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_5_trial_0_contcorrect_True - current_best_fitness__MAX"
"14","60.3359375","60.3359375","60.3359375","54.578125","54.578125","54.578125","29.2578125","29.2578125","29.2578125","17.0078125","17.0078125","17.0078125","11.5625","11.5625","11.5625","9.2890625","9.2890625","9.2890625","9.421875","9.421875","9.421875","124.2578125","124.2578125","124.2578125","9.265625","9.265625","9.265625","11.5","11.5","11.5"
"15","47.421875","47.421875","47.421875","58.609375","58.609375","58.609375","30.3359375","30.3359375","30.3359375","14.953125","14.953125","14.953125","10.9609375","10.9609375","10.9609375","9.3984375","9.3984375","9.3984375","9.5","9.5","9.5","122.2265625","122.2265625","122.2265625","9.5703125","9.5703125","9.5703125","11.453125","11.453125","11.453125"
"16","80.515625","80.515625","80.515625","9.3515625","9.3515625","9.3515625","23.421875","23.421875","23.421875","10.0390625","10.0390625","10.0390625","10.6640625","10.6640625","10.6640625","9.25","9.25","9.25","9.4296875","9.4296875","9.4296875","115.9921875","115.9921875","115.9921875","11.4765625","11.4765625","11.4765625","9.359375","9.359375","9.359375"
"17","65.6640625","65.6640625","65.6640625","9.4453125","9.4453125","9.4453125","16.484375","16.484375","16.484375","9.7265625","9.7265625","9.7265625","11.5859375","11.5859375","11.5859375","9.4609375","9.4609375","9.4609375","9.484375","9.484375","9.484375","26.3125","26.3125","26.3125","11.5703125","11.5703125","11.5703125","9.3125","9.3125","9.3125"
"18","67.5234375","67.5234375","67.5234375","9.4921875","9.4921875","9.4921875","15.671875","15.671875","15.671875","9.734375","9.734375","9.734375","11.3125","11.3125","11.3125","9.3515625","9.3515625","9.3515625","9.46875","9.46875","9.46875","64.7265625","64.7265625","64.7265625","11.515625","11.515625","11.515625","9.390625","9.390625","9.390625"
"19","91.6484375","91.6484375","91.6484375","9.5703125","9.5703125","9.5703125","15.3515625","15.3515625","15.3515625","11.328125","11.328125","11.328125","10.8359375","10.8359375","10.8359375","9.421875","9.421875","9.421875","9.5","9.5","9.5","137.7890625","137.7890625","137.7890625","11.6171875","11.6171875","11.6171875","9.5859375","9.5859375","9.5859375"
"20","88.6796875","88.6796875","88.6796875","9.65625","9.65625","9.65625","15.5625","15.5625","15.5625","11.390625","11.390625","11.390625","11.53125","11.53125","11.53125","9.3828125","9.3828125","9.3828125","9.4609375","9.4609375","9.4609375","37.671875","37.671875","37.671875","11.4765625","11.4765625","11.4765625","9.3125","9.3125","9.3125"
"21","9.5546875","9.5546875","9.5546875","66.640625","66.640625","66.640625","23.828125","23.828125","23.828125","118.046875","118.046875","118.046875","11.59375","11.59375","11.59375","9.3359375","9.3359375","9.3359375","9.46875","9.46875","9.46875","10","10","10","16.7265625","16.7265625","16.7265625","11.4296875","11.4296875","11.4296875"
"22","9.34375","9.34375","9.34375","137.328125","137.328125","137.328125","22.84375","22.84375","22.84375","81.53125","81.53125","81.53125","11.640625","11.640625","11.640625","9.3203125","9.3203125","9.3203125","9.3046875","9.3046875","9.3046875","9.7890625","9.7890625","9.7890625","90.8828125","90.8828125","90.8828125","11.53125","11.53125","11.53125"
"23","9.375","9.375","9.375","198.6328125","198.6328125","198.6328125","22.1875","22.1875","22.1875","115.90625","115.90625","115.90625","11.234375","11.234375","11.234375","9.3359375","9.3359375","9.3359375","9.5","9.5","9.5","9.6171875","9.6171875","9.6171875","55.8828125","55.8828125","55.8828125","11.515625","11.515625","11.515625"
"24","9.390625","9.390625","9.390625","200","200","200","23.5078125","23.5078125","23.5078125","25.671875","25.671875","25.671875","11.0546875","11.0546875","11.0546875","9.3671875","9.3671875","9.3671875","9.453125","9.453125","9.453125","9.9921875","9.9921875","9.9921875","74.875","74.875","74.875","11.6796875","11.6796875","11.6796875"
"25","9.46875","9.46875","9.46875","200","200","200","23.125","23.125","23.125","24.0546875","24.0546875","24.0546875","11","11","11","9.21875","9.21875","9.21875","9.390625","9.390625","9.390625","10.6015625","10.6015625","10.6015625","91.0078125","91.0078125","91.0078125","11.4453125","11.4453125","11.4453125"
"26","18.5234375","18.5234375","18.5234375","9.375","9.375","9.375","15.53125","15.53125","15.53125","21.1875","21.1875","21.1875","11.4375","11.4375","11.4375","200","200","200","10.125","10.125","10.125","191","191","191","25.4296875","25.4296875","25.4296875","192.78125","192.78125","192.78125"
"27","60.3671875","60.3671875","60.3671875","9.328125","9.328125","9.328125","15.28125","15.28125","15.28125","23.1171875","23.1171875","23.1171875","10.9765625","10.9765625","10.9765625","194.8046875","194.8046875","194.8046875","10.40625","10.40625","10.40625","188.9921875","188.9921875","188.9921875","28.3125","28.3125","28.3125","195.0859375","195.0859375","195.0859375"
"28","76.3828125","76.3828125","76.3828125","9.421875","9.421875","9.421875","14.6015625","14.6015625","14.6015625","24.1953125","24.1953125","24.1953125","11.1015625","11.1015625","11.1015625","200","200","200","10.3125","10.3125","10.3125","190.8671875","190.8671875","190.8671875","17.2734375","17.2734375","17.2734375","167.734375","167.734375","167.734375"
"29","71","71","71","9.3125","9.3125","9.3125","15.1875","15.1875","15.1875","24.234375","24.234375","24.234375","10.9921875","10.9921875","10.9921875","200","200","200","10.0625","10.0625","10.0625","180.0234375","180.0234375","180.0234375","14.25","14.25","14.25","163.7109375","163.7109375","163.7109375"
"30","66.34375","66.34375","66.34375","9.390625","9.390625","9.390625","14.8671875","14.8671875","14.8671875","22.3828125","22.3828125","22.3828125","10.953125","10.953125","10.953125","200","200","200","9.9453125","9.9453125","9.9453125","177.9765625","177.9765625","177.9765625","13.9765625","13.9765625","13.9765625","138.21875","138.21875","138.21875"
"31","194.9765625","194.9765625","194.9765625","20.28125","20.28125","20.28125","14.5859375","14.5859375","14.5859375","78.328125","78.328125","78.328125","10.75","10.75","10.75","12.96875","12.96875","12.96875","11.59375","11.59375","11.59375","12.3046875","12.3046875","12.3046875","14.3828125","14.3828125","14.3828125","9.421875","9.421875","9.421875"
"32","174.8359375","174.8359375","174.8359375","19.5546875","19.5546875","19.5546875","12.8359375","12.8359375","12.8359375","191.4765625","191.4765625","191.4765625","11.625","11.625","11.625","13.0859375","13.0859375","13.0859375","12.828125","12.828125","12.828125","11.625","11.625","11.625","16.1875","16.1875","16.1875","9.25","9.25","9.25"
"33","122.2421875","122.2421875","122.2421875","17.984375","17.984375","17.984375","13.2734375","13.2734375","13.2734375","190.4765625","190.4765625","190.4765625","11.09375","11.09375","11.09375","12.71875","12.71875","12.71875","12.9453125","12.9453125","12.9453125","15.5","15.5","15.5","14.28125","14.28125","14.28125","9.53125","9.53125","9.53125"
"34","123.3046875","123.3046875","123.3046875","17.7578125","17.7578125","17.7578125","15.7890625","15.7890625","15.7890625","194.0078125","194.0078125","194.0078125","10.8359375","10.8359375","10.8359375","13.7421875","13.7421875","13.7421875","13.7421875","13.7421875","13.7421875","15.703125","15.703125","15.703125","13.5546875","13.5546875","13.5546875","9.5078125","9.5078125","9.5078125"
"35","123.3359375","123.3359375","123.3359375","18.1015625","18.1015625","18.1015625","13.6015625","13.6015625","13.6015625","199.890625","199.890625","199.890625","11.875","11.875","11.875","14.8046875","14.8046875","14.8046875","12.7109375","12.7109375","12.7109375","17.6171875","17.6171875","17.6171875","15.03125","15.03125","15.03125","9.4921875","9.4921875","9.4921875"
"36","24.1171875","24.1171875","24.1171875","184.21875","184.21875","184.21875","41.8984375","41.8984375","41.8984375","12.8359375","12.8359375","12.8359375","85.1875","85.1875","85.1875","27.65625","27.65625","27.65625","9.7265625","9.7265625","9.7265625","9.328125","9.328125","9.328125","20.9921875","20.9921875","20.9921875","9.5078125","9.5078125","9.5078125"
"37","32.171875","32.171875","32.171875","171.3203125","171.3203125","171.3203125","46.9765625","46.9765625","46.9765625","12.8515625","12.8515625","12.8515625","133.328125","133.328125","133.328125","18.703125","18.703125","18.703125","9.7734375","9.7734375","9.7734375","9.421875","9.421875","9.421875","111.7890625","111.7890625","111.7890625","9.171875","9.171875","9.171875"
"38","26.3359375","26.3359375","26.3359375","101.8671875","101.8671875","101.8671875","41.609375","41.609375","41.609375","12.7890625","12.7890625","12.7890625","67.96875","67.96875","67.96875","41.6484375","41.6484375","41.6484375","9.96875","9.96875","9.96875","9.3671875","9.3671875","9.3671875","118.3125","118.3125","118.3125","9.4765625","9.4765625","9.4765625"
"39","53.0390625","53.0390625","53.0390625","20","20","20","42.6796875","42.6796875","42.6796875","12.8515625","12.8515625","12.8515625","84.5859375","84.5859375","84.5859375","90.6875","90.6875","90.6875","9.734375","9.734375","9.734375","9.4296875","9.4296875","9.4296875","124.078125","124.078125","124.078125","9.296875","9.296875","9.296875"
"40","86.6171875","86.6171875","86.6171875","18.484375","18.484375","18.484375","38.546875","38.546875","38.546875","12.9140625","12.9140625","12.9140625","116.734375","116.734375","116.734375","18.7109375","18.7109375","18.7109375","9.828125","9.828125","9.828125","9.4375","9.4375","9.4375","159.9921875","159.9921875","159.9921875","9.421875","9.421875","9.421875"
"41","85.296875","85.296875","85.296875","199.4296875","199.4296875","199.4296875","14.171875","14.171875","14.171875","66.84375","66.84375","66.84375","9.515625","9.515625","9.515625","125.75","125.75","125.75","9.6171875","9.6171875","9.6171875","41.4296875","41.4296875","41.4296875","10.15625","10.15625","10.15625","9.3671875","9.3671875","9.3671875"
"42","44.6875","44.6875","44.6875","199.1875","199.1875","199.1875","13.703125","13.703125","13.703125","105.5234375","105.5234375","105.5234375","9.8515625","9.8515625","9.8515625","126.703125","126.703125","126.703125","9.3515625","9.3515625","9.3515625","44.0078125","44.0078125","44.0078125","10.8984375","10.8984375","10.8984375","9.3515625","9.3515625","9.3515625"
"43","95.6171875","95.6171875","95.6171875","191.296875","191.296875","191.296875","13.0390625","13.0390625","13.0390625","73.9765625","73.9765625","73.9765625","9.4296875","9.4296875","9.4296875","124.8046875","124.8046875","124.8046875","9.421875","9.421875","9.421875","43.5390625","43.5390625","43.5390625","9.7890625","9.7890625","9.7890625","9.40625","9.40625","9.40625"
"44","55.59375","55.59375","55.59375","186.3984375","186.3984375","186.3984375","13.484375","13.484375","13.484375","62.5078125","62.5078125","62.5078125","9.40625","9.40625","9.40625","121.6875","121.6875","121.6875","9.3828125","9.3828125","9.3828125","43.265625","43.265625","43.265625","10.703125","10.703125","10.703125","9.5390625","9.5390625","9.5390625"
"45","76.7890625","76.7890625","76.7890625","185.8359375","185.8359375","185.8359375","11.7890625","11.7890625","11.7890625","79.9609375","79.9609375","79.9609375","10.6796875","10.6796875","10.6796875","143.1796875","143.1796875","143.1796875","9.3125","9.3125","9.3125","42.65625","42.65625","42.65625","10.3203125","10.3203125","10.3203125","9.375","9.375","9.375"
"46","9.5390625","9.5390625","9.5390625","10.5546875","10.5546875","10.5546875","19.0859375","19.0859375","19.0859375","154.4453125","154.4453125","154.4453125","11.390625","11.390625","11.390625","9.6171875","9.6171875","9.6171875","9.421875","9.421875","9.421875","19","19","19","179.03125","179.03125","179.03125","9.375","9.375","9.375"
"47","9.9140625","9.9140625","9.9140625","10.0234375","10.0234375","10.0234375","16.984375","16.984375","16.984375","166.8984375","166.8984375","166.8984375","10.5703125","10.5703125","10.5703125","9.6640625","9.6640625","9.6640625","9.421875","9.421875","9.421875","36.2265625","36.2265625","36.2265625","200","200","200","9.4140625","9.4140625","9.4140625"
"48","11.9140625","11.9140625","11.9140625","10.0078125","10.0078125","10.0078125","20.0625","20.0625","20.0625","200","200","200","10.1484375","10.1484375","10.1484375","9.546875","9.546875","9.546875","9.46875","9.46875","9.46875","48.78125","48.78125","48.78125","200","200","200","9.421875","9.421875","9.421875"
"49","11.328125","11.328125","11.328125","9.890625","9.890625","9.890625","18.3046875","18.3046875","18.3046875","200","200","200","11.0703125","11.0703125","11.0703125","9.6875","9.6875","9.6875","9.8125","9.8125","9.8125","48.59375","48.59375","48.59375","192.8359375","192.8359375","192.8359375","9.3671875","9.3671875","9.3671875"
"50","12.234375","12.234375","12.234375","9.8828125","9.8828125","9.8828125","21.1796875","21.1796875","21.1796875","200","200","200","11.203125","11.203125","11.203125","9.7265625","9.7265625","9.7265625","9.4921875","9.4921875","9.4921875","47.2578125","47.2578125","47.2578125","200","200","200","9.390625","9.390625","9.390625"
"51","63.359375","63.359375","63.359375","44.53125","44.53125","44.53125","96.9140625","96.9140625","96.9140625","13.671875","13.671875","13.671875","9.8046875","9.8046875","9.8046875","11.4453125","11.4453125","11.4453125","200","200","200","21.2421875","21.2421875","21.2421875","12.8125","12.8125","12.8125","200","200","200"
"52","35.5546875","35.5546875","35.5546875","35.5390625","35.5390625","35.5390625","100.6171875","100.6171875","100.6171875","13.9453125","13.9453125","13.9453125","9.84375","9.84375","9.84375","11.71875","11.71875","11.71875","200","200","200","20.5625","20.5625","20.5625","15.6875","15.6875","15.6875","46.5703125","46.5703125","46.5703125"
"53","82.171875","82.171875","82.171875","27.8671875","27.8671875","27.8671875","107.828125","107.828125","107.828125","12.7421875","12.7421875","12.7421875","9.53125","9.53125","9.53125","11.640625","11.640625","11.640625","200","200","200","21.0625","21.0625","21.0625","17.2421875","17.2421875","17.2421875","54.515625","54.515625","54.515625"
"54","65.1953125","65.1953125","65.1953125","49.5","49.5","49.5","95.53125","95.53125","95.53125","12.9921875","12.9921875","12.9921875","10","10","10","11.609375","11.609375","11.609375","200","200","200","19.515625","19.515625","19.515625","16.0390625","16.0390625","16.0390625","76.15625","76.15625","76.15625"
"55","23.2265625","23.2265625","23.2265625","51.09375","51.09375","51.09375","124.8671875","124.8671875","124.8671875","13.203125","13.203125","13.203125","9.34375","9.34375","9.34375","11.75","11.75","11.75","200","200","200","20.265625","20.265625","20.265625","15.640625","15.640625","15.640625","93.578125","93.578125","93.578125"
"56","65.7421875","65.7421875","65.7421875","10.5703125","10.5703125","10.5703125","94.3984375","94.3984375","94.3984375","21.890625","21.890625","21.890625","9.7734375","9.7734375","9.7734375","15.4375","15.4375","15.4375","9.515625","9.515625","9.515625","16.828125","16.828125","16.828125","53.3671875","53.3671875","53.3671875","11.5234375","11.5234375","11.5234375"
"57","53.1328125","53.1328125","53.1328125","10.9921875","10.9921875","10.9921875","109.09375","109.09375","109.09375","20.6796875","20.6796875","20.6796875","10.6953125","10.6953125","10.6953125","14.84375","14.84375","14.84375","9.3984375","9.3984375","9.3984375","16.40625","16.40625","16.40625","60.765625","60.765625","60.765625","11.4609375","11.4609375","11.4609375"
"58","30.65625","30.65625","30.65625","10.9453125","10.9453125","10.9453125","116.0546875","116.0546875","116.0546875","22.03125","22.03125","22.03125","11.453125","11.453125","11.453125","17.71875","17.71875","17.71875","9.609375","9.609375","9.609375","15.765625","15.765625","15.765625","46.578125","46.578125","46.578125","11.7109375","11.7109375","11.7109375"
"59","43.078125","43.078125","43.078125","11.15625","11.15625","11.15625","102.75","102.75","102.75","24.1328125","24.1328125","24.1328125","10.1953125","10.1953125","10.1953125","14.734375","14.734375","14.734375","9.5703125","9.5703125","9.5703125","17.0390625","17.0390625","17.0390625","41.8046875","41.8046875","41.8046875","11.5390625","11.5390625","11.5390625"
"60","34.1328125","34.1328125","34.1328125","11.9765625","11.9765625","11.9765625","114.4375","114.4375","114.4375","21.703125","21.703125","21.703125","10.8359375","10.8359375","10.8359375","15.0390625","15.0390625","15.0390625","9.3984375","9.3984375","9.3984375","13.5078125","13.5078125","13.5078125","39.609375","39.609375","39.609375","11.5546875","11.5546875","11.5546875"
"61","17.8359375","17.8359375","17.8359375","146.5234375","146.5234375","146.5234375","55.125","55.125","55.125","21.046875","21.046875","21.046875","11.609375","11.609375","11.609375","9.6171875","9.6171875","9.6171875","12.0078125","12.0078125","12.0078125","12.6171875","12.6171875","12.6171875","14.453125","14.453125","14.453125","9.4765625","9.4765625","9.4765625"
"62","15.140625","15.140625","15.140625","148.6171875","148.6171875","148.6171875","63.3203125","63.3203125","63.3203125","20.4453125","20.4453125","20.4453125","11.5078125","11.5078125","11.5078125","9.6484375","9.6484375","9.6484375","11.421875","11.421875","11.421875","13.5703125","13.5703125","13.5703125","14.4140625","14.4140625","14.4140625","9.3984375","9.3984375","9.3984375"
